	road_name
568	Avenue de Champel 51-71
569	Rue Alcide-Jentzer 16-22
570	E62
571	Chemin Kermely 11-1
572	Rue Pestalozzi 29
573	Route de Chêne 20-26
574	Unnamed Road
575	Rue Hugo-De-Senger 7-1
576	Boulevard de la Tour 8-12
577	Unnamed Road
578	Lancy
579	Route de Compois 16
580	Rue de Villereuse
581	Rue d'Italie 5
582	Pont de la Coulouvrenière
583	Chemin des Embrouchis 4
584	Route de la Plaine 19-17
585	Rue du Parc 3-1
586	Quai du Général-Guisan 40-42
587	Tranchée Couverte d'Arare
588	Rue d'Aoste 7
589	Rue du Prieuré 20-24
590	Route de Florissant 25-23
591	Boulevard Georges-Favon 11
592	Chemin de la Chevillarde
593	Rue de la Fontenette 23-9
594	Square de Chantepoulet
595	Avenue de Mategnin 69-63
596	Grottes - Saint-Gervais
597	Rue de l'Arquebuse 12-16
598	Rue du Vieux-Collège 4-6
599	Voie Centrale
600	Route de Bossey 11-3
601	Veyrier
602	:ERROR STATUS: NOT_FOUND
603	Chemin Malombré 11
604	:ERROR STATUS: NOT_FOUND
605	Route de Chêne 76
606	Boulevard Helvétique 18
607	Route des Tournettes
608	Rue du Vélodrome 2
609	Rue de Veyrier 17-13
610	Quai Gustave-Ador 68-78
611	Route de Saint-Julien 71-69
612	Avenue du Rond-Point
613	E62
614	Route de Saint-Julien
615	Route de Lausanne 288-290
616	Pont du Mont-Blanc
617	Pont du Mont-Blanc
618	:ERROR STATUS: NOT_FOUND
619	Rue de Sous-Terre
620	Chemin des Deux-Communes 31-23
621	Route de Juvigny 90-100
622	Route de Peney
623	Chemin du Bac 16-18
624	Rue de l'Encyclopédie 10-14
625	Route des Acacias
626	Rue Pécolat 2-10
627	Rue des Vieux-Grenadiers 17-5
628	Chemin des Semailles 4-8
629	Avenue des Communes-Réunies 2
630	Rue Docteur-Alfred-Vincent 8-12
631	Place de Cornavin
632	Rue Pécolat 5
633	Rue de Berne 29-21
634	Route d'Hermance 293-287
635	Route de Veyrier
636	Rue Rousseau 29-23
637	Chemin de la Tourelle 5
638	Avenue Henri-Dunant
639	Route de Veyrier 57-55
640	Rue de Villereuse 4-10
641	Rue du Prince 11-3
642	Route des Batailleux
643	Route des Jeunes 6
644	Avenue de Miremont
645	Route de Vernier 138
646	Route du Bout-du-Monde
647	Route de l'Aéroport
648	E25
649	Rue du Grand-Pré 70-72
650	Avenue Théodore-Weber 31-29
651	Rue Jean-Ant.-Gautier 8-16
652	Tranchée couverte de Saconnex-d'Arve
653	Rue Terreaux-du-Temple 20-22
654	Avenue Vibert
655	Avenue Pictet-de-Rochemont 26-30
656	Chemin de la Chênaie 30-38
657	Avenue de la Paix 7-5
658	Chemin des Palettes
659	Avenue de Feuillasse
660	Route de Frontenex 54-56
661	Route de Saint-Julien
662	Chemin Edouard-Sarasin 46-52
663	Rue Daubin 14-22
664	Place Kléberg
665	Rue Michel-Servet 12-16
666	Chemin du Renard 34
667	:ERROR STATUS: NOT_FOUND
668	Route Blanche
669	Vernier
670	Rue Eugène-Marziano 10-12
671	Chemin des Hutins 6-24
672	Rue Pierre-Fatio 6-12
673	Route de Saint-Julien 23-7
674	Avenue De-Luserna 15-13
675	Rue Hoffmann 4-10
676	Rue de la Golette 8-16
677	Rue Jean-François Bartholoni 2-8
678	Chemin des Ouches 2-12
679	Rue Charles-Galland
680	Tunnel de Vernier
681	:ERROR STATUS: NOT_FOUND
682	Rue Barton
683	Rue de Genève 6-50
684	Rue des Caroubiers 19-13
685	Route de Malagnou 77-75
686	Rampe du Pont-Rouge 18-24
687	Pont du Mont-Blanc
688	Route de Saint-Julien
