	road_name
428	Chemin des Hutins 6-24
429	Route de Florissant
430	Route de Frontenex 86-80
431	Unnamed Road
432	Rue de Richemont 25-23
433	Quai du Seujet 24-34
434	Route de Meyrin
435	Unnamed Road
436	Route de Pressy 17
437	Chemin des Mattines
438	Rue Hans Wilsdorf 4-1
439	Prom. du Pin 5-1
440	Rue Vallin 11-9
441	Route des Jeunes
442	Route de Florissant 59-53
443	A1a
444	Route de l'Etraz
445	Avenue du Bouchet 19-17
446	Rue des Granges 16
447	Avenue du Mail 24
448	Place de Neuve 1
449	Route de Saint-Julien 171
450	1
451	Chemin Thury 3
452	E62
453	Rue des Rois 3-1
454	Champel
455	Avenue des Tilleuls 14-16
456	Rue des Sablières 4-14
457	Rue du Stand 35-27
458	Rue Lombard 15
459	Route du Pont Butin 55-45
460	Chemin de la Montagne 60-70
461	Rue Jacques-Grosselin 25-21
462	Route de La-Chapelle
463	Route de Jussy
464	Route de Forestal 50-60
465	Quai de Cologny 22-24
466	E62
467	A1a
468	Rue des Deux-Ponts 16
469	Rue de la Terrassière 42-48
470	Route du Vélodrome 19
471	Chemin Edouard-Sarasin 46-52
472	Route de Chêne 100-102
473	Rue Jean-Violette 23-21
474	Route de Sous-Moulin 32-34
475	Rue Jean-Jaquet 3-1
476	E62
477	Route du Vélodrome 41-35
478	Route de Chancy 180
479	Rue Sismondi 16
480	Route des Acacias 11-15
481	Quai du Général-Guisan 28
482	Avenue de Thônex 28
483	Rue Jacques-GROSSELIN
484	E62
485	Vernier
486	Route de Malagnou 101
487	Avenue de Mategnin 69-63
488	Chemin du Pont-Bochet 2
489	Rampe de Cologny 3-1
490	Unnamed Road
491	Route de Saint-Loup 8
492	Boulevard Helvétique 23-17
493	Route de Chêne 78-80
494	Quai de la Poste
495	Rue Liotard 2-8
496	Chemin Adrien-Stoessel
497	Route de Veyrier 40-52
498	Quai de Cologny 61
499	Chemin Rieu 17
500	Rue de la Servette 67-53
501	Quai du Général-Guisan
502	Avenue de France 21-19
503	E62
504	Avenue de Vaudagne
505	Route de Lully
506	Route d'Hermance 18-20
507	Unnamed Road
508	Route de Chèvres
509	Rue de la Maladière 2-4
510	:ERROR STATUS: NOT_FOUND
511	Rue Lombard 15
512	Route de Meyrin 9
513	Rue du Port 2
514	Rue des Epinettes
515	Rue Jean-Dassier 17-11
516	Rue Pierre-Fatio
517	Chemin de Cressy 9-7
518	Chemin de la Montagne 60-70
519	:ERROR STATUS: NOT_FOUND
520	Route de Saint-Julien
521	Avenue Pictet-de-Rochemont 26-30
522	Chemin de la Seymaz 43-35
523	Rue Chabrey 14
524	Quai des Bergues
525	Avenue Wendt 12
526	Route des Acacias
527	Unnamed Road
528	E62
529	Route de Vernier
530	Place des Cinq-Continents
531	Pâquis-Nations
532	Place du Lignon 34
533	Rue Terreaux-du-Temple 2-4
534	Rue Voltaire 23
535	Route de Pré-Bois
536	Rue Camille-Martin 6-10
537	Avenue de la Roseraie 64
538	Centre-Plainpalais-Acacias
539	Route de Veyrier 168
540	Pâquis-Nations
541	Rue de Lyon 111-105
542	Route de Lausanne 320-322
543	Rue du Rhône 47
544	Route de Chêne 29-27
545	Chemin de la Dame 67
546	Rue du 31 Décembre
547	Route de Cugny
548	Boulevard Helvétique
549	Place du Pré-I'Évéque
550	Route du Pont Butin
551	E62
552	E62
553	Route de Meyrin 214
554	Avenue Henri-Dunant 9-4
555	Avenue du Mail 8-10
556	Route de Chêne 124-132
557	Rue des Cornettes-de-Bise
558	Route de l'Aéroport
559	Unnamed Road
560	Route des Jeunes
561	Rue de Villereuse 4-10
562	Quai Capo-d'Istria
563	Rue Liotard 12-22
564	Rue De-Miléant 12-18
565	Route de Satigny
566	Route de l'Aéroport
567	Avenue des Amazones 25
568	Route du Pont Butin
569	Chemin de la Gradelle
570	Chemin de la Gravière 7-1
571	Route du Moulin-Roget 51-23
572	Rue du Grand-Bureau 37-21
573	Rue Hoffmann 12-18
574	Avenue du Curé Baud
575	E62
576	Route de Jussy
577	Rue de Chantepoulet 8-12
578	Avenue De-Luserna
579	Rue des Délices 21-11
580	Unnamed Road
581	Chemin de la Motte
582	Rue Willy-Donzé 6
583	Rue de Moillebeau
584	Rue Chaponnière 4-14
585	Rue de Chêne-Bougeries 27-1
586	Rue de la Servette 93-91
587	Rue du Grand-Pré
588	Avenue Louis-Aubert 15-13
