	road_name
582	Rue Sigismond-Thalberg
583	Chemin de Grange-Collomb 4-34
584	Route de Meyrin
585	Boulevard des Tranchées
586	Sentier du Château
587	Rue de Genève 113-103
588	Veyrier
589	Rue Henri-Christiné 7-1
590	Avenue des Grandes-Communes
591	Route de Suisse 70-74
592	Rue Verdaine 8-14
593	Route de Malagnou 29-27
594	Avenue de l'Amandolier
595	Plateau de Frontenex 2
596	Rue Louis-Favre 20
597	Avenue de Thônex
598	Rue Crespin 1
599	Route de Veyrier 53-51
600	E62
601	Quai Charles-Page
602	Rampe du Pont-Rouge
603	Route du Bois-des-Frères
604	Centre-Plainpalais-Acacias
605	Route de Chêne 10-14
606	Rue Lamartine 3-1
607	E25
608	Avenue de Jolimont
609	Avenue de la Praille
610	Rue de la Mairie 35-29
611	Quai de Versoix 2
612	Avenue de Châtelaine 16-20
613	Route du Pont Butin
614	Route de Drize
615	Rue de Genève 113-103
616	Avenue de Châtelaine 62-68
617	:ERROR STATUS: NOT_FOUND
618	Pregny-Chambésy
619	:ERROR STATUS: NOT_FOUND
620	Rue du Collège 11-1
621	Avenue de France
622	Rue Louis-Favre 10
623	Rue Joseph-Girard 2-16
624	Boulevard James-Fazy 3
625	Rue du Lièvre 2-4
626	Rue Terreaux-du-Temple 8-10
627	Chemin Edouard-Sarasin 26-28
628	Rue Albert-Richard 2
629	Rue de Carouge 87-83
630	Unnamed Road
631	Route de Lausanne 263
632	Avenue Louis-Rendu
633	Route de Meyrin
634	Rue de Lyon 16-22
635	Rue des Granges 2-6
636	Route de Verbois 40
637	Route de l'Aéroport 7
638	Route de Chêne 21-15
639	Route de Vernier
640	1
641	Route de l'Etraz
642	Rue Gilbert
643	Rue de la Servette 100
644	Route de Loëx
645	Grottes - Saint-Gervais
646	Rue du Vieux-Billard 9-5
647	Quai du Mont-Blanc 11-7
648	Route de Meyrin
649	Route de Vernier
650	Route du Nant-d'Avril
651	Route du Grand-Lancy 38-48
652	Avenue de Chamonix 9-5
653	Route du Pont Butin
654	Genève
655	Route de Saint-Georges 73-69
656	Route du Bois-des-Frères 90
657	Avenue de Bel-Air 70-86
658	Rue du Marché 2-16
659	Avenue Pictet-de-Rochemont 8
660	Route de Ferney 20-36
661	Avenue de la Paix 11-9
662	Route de Rennex 20
663	Geneva
664	Route de Meyrin
665	Route de Malagnou 56-64
666	Chemin du Pont-du-Centenaire
667	Boulevard Emile-Jaques-Dalcroze
668	Avenue du Bouchet 29-21
669	Route de l'Aéroport
670	Rue de Jargonnant 5-1
671	Route de Sous-Moulin
672	Route de Chancy
673	Avenue Tronchet 15
674	Rue François-Bonivard 8-12
675	Route de Meyrin
676	Boulevard de la Cluse 79-65
677	Unnamed Road
678	Route de Saint-Julien
679	Avenue Tronchet 15
680	Route de Suisse 77-71
681	E62
682	Avenue de Frontenex 34
683	Rue Prévost-Martin 19
684	Avenue d'Aïre
685	Avenue de la Paix 7-5
686	Rue du Purgatoire 3-1
687	Route de Malagnou
688	Rue François-Bellot 8-16
689	Rue de la Terrassière 50-58
690	Rue du Stand 35-27
691	Rue du Stand 52
692	Boulevard Helvétique 31-25
693	Avenue François-Besson 2-12
694	Place des Aviateurs 1-3
695	Quai Gustave-Ador 20
696	Rue Henri-Christiné 7-1
697	Tranchée du Bachet-de-Pesay
698	Rue Lect
699	Route du Nant-d'Avril
700	Quai Gustave-Ador 11-7
701	Route du Bois-de-Bay 75-71
702	Rue Liotard 48-50
703	Rampe de la Gare 2-6
704	Quai du Général-Guisan
705	E62
706	Rue du Rhône
707	Route de Vernier 158
708	Rue Jean-Imbert-Galloix 2-4
709	Avenue Eugène Lance
710	Rue Dancet 22
711	Unnamed Road
712	Route de Meyrin
713	Chemin des Coquelicots
714	Route du Vélodrome
715	Avenue Adrien-Jeandin
716	Rue Hoffmann 12-18
717	Rue Ferdinand-Hodler
718	Avenue de Gennecy 15-1
719	Quai de Cologny 46
720	Rampe de Cologny
721	Route de la Capite 35-19
722	Route de Peney 157
723	Chemin de Joinville 4-6
724	Cours de Rive 2-8
725	Avenue Edmond-Vaucher 2
