	index	ID_ACCIDENT	DATE_	GROUPE_ACCIDENT	COMMUNE	CONDITIONS_LUMINEUSES	CONDITIONS_METEO	CONSEQUENCES	COOR_X	COOR_Y	ETAT_ROUTE	GENRE_ROUTE	HEURE	JOUR	LOCALITE	NB_ENFANTS_IMPLIQUES	NB_ENFANTS_ECOLE	NB_BLESSES_LEGERS	NB_BLESSES_GRAVES	NB_TUES	NB_PIETONS	NB_BICYCLETTES	NB_VAE_25	NB_VAE_45	NB_CYCLOMOTEURS	NB_MOTOS_50	NB_MOTOS_125	NB_MOTOS_11KW	NB_VOITURES_TOURISME	NB_VOITURES_LIVRAISON	NB_CAMIONS	NB_BUS	NB_TRAM	E	N	YEAR	MONTH	DAY	CAUSE_g	CAUSE_sg	location.latitude	location.longitude	placeId	road_name
2083	12406	1652443.0	2015-09-23	Accident en traversant une route	Laconnex	Jour	Beau	Avec blessés graves	6.034145887832643	46.15674180046315	Sèche	Route secondaire	1899-12-30 16:00:00	Mercredi	A l'extérieur d'une localité	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2491505.0	1112669.0	2015	9	23	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Cédez le passage'	46.15672615381382	6.034164530880092	ChIJ_R-DR659jEcRksqqeEKCPIM	La Vy-Neuve 23
2084	12407	1653009.0	2015-09-25	Accident en traversant une route	La Croix-de-Rozon	Aurore / crépuscule	Beau	Avec blessés légers	6.136867945504212	46.14465953859023	Sèche	Route secondaire	1899-12-30 06:00:00	Vendredi	Non renseigné	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2499417.0	1111189.0	2015	9	25	Refus d'accorder la priorité	Refus d'accorder la priorité à l'entrée dans la circulation depuis une place privée, etc.	46.144667268929254	6.1368857580792495	ChIJ61411kh6jEcRHIIVHG44NY4	Route du Pont-de-la-Fin 2
2085	12408	1651207.0	2015-09-20	Accident par tamponnement	Jussy	Jour	Beau	Avec blessés légers	6.249970576057741	46.23224985826143	Sèche	Route principale	1899-12-30 17:00:00	Dimanche	A l'extérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2508303.0	1120786.0	2015	9	20	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède	46.23224734528218	6.249978597711286	ChIJg6C6wfdujEcRyOSUQRLqdQY	Route de Jussy 230
2086	12409	1690939.0	2015-12-26	Dérapage ou perte de maîtrise	Vernier	Nuit	Couvert	Avec blessés graves	6.109283593737702	46.211526264912656	Sèche	Route principale	1899-12-30 23:00:00	Samedi	Non renseigné	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2497412.0	1118657.0	2015	12	26	Etat / intention du conducteur	Excès de fatigue, endormissement (y compris endormissement passager)	46.21150786097691	6.109292064719683	ChIJm1YfKrtkjEcRUk2X2lynSkI	Pont de l'Écu
2087	12410	1668790.0	2015-10-29	Accident en parquant	Genève	Inconnu	Autre	Autres	6.142374680961588	46.1933507936391	Autre	Route secondaire	1899-12-30 16:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2499932.0	1116594.0	2015	10	29	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)	46.193346731307784	6.1423431904001555	ChIJlyloJdR6jEcRNZrsY0-ih2c	Rue Dancet 17-11
2088	12412	1674886.0	2015-11-17	Accident lors d'un dépassement ou lors d'un changement de voie de circulation	Genève	Jour	Beau	Autres	6.141893593058988	46.195054661487504	Sèche	Route secondaire	1899-12-30 15:00:00	Mardi	Non renseigné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2499898.0	1116784.0	2015	11	17	Circulation à droite / à gauche et présélectionnement	Manque d'égards en changeant de voie	46.19505650622712	6.141876400040838	ChIJSztGq9V6jEcRHkr7WbHrqck	Avenue Henri-Dunant
2089	12413	1671417.0	2015-11-09	Accident par tamponnement	Meyrin	Jour	Beau	Autres	6.108330202626617	46.2287800894963	Sèche	Route secondaire	1899-12-30 15:00:00	Lundi	A l'extérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2497371.0	1120576.0	2015	11	9	Autres mouvements dans la circulation	Suivre de trop près le véhicule qui précède	46.22878858082159	6.108321020979334	ChIJwdgpsoRkjEcRr5XiBmqzT00	Route de la Vorge
2090	12415	1686841.0	2015-12-10	Accident par tamponnement	Bernex	Jour	Beau	Autres	6.081362994587448	46.186830143269866	Sèche	Autoroute	1899-12-30 13:00:00	Jeudi	A l'extérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2495210.0	1115949.0	2015	12	10	Inattention et distraction	Manque d'attention momentané	46.186850194701655	6.081421718881996	ChIJ1XomP7t8jEcRHWkBWPRufYM	E62
2091	12416	1672608.0	2015-11-12	Accident en traversant une route	Petit-Lancy	Jour	Beau	Avec blessés légers	6.117242844058808	46.196504991852606	Sèche	Route principale	1899-12-30 13:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2497998.0	1116977.0	2015	11	12	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Stop'	46.19650569288669	6.117244307119695	ChIJZcFllDV7jEcR4ECNGjKkUds	Avenue du Plateau 35-25
2092	12417	1661983.0	2015-10-17	Accident en traversant une route	Genève	Nuit	Beau	Avec blessés légers	6.1604574385045	46.201177430583705	Sèche	Route principale	1899-12-30 02:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2501342.0	1117441.0	2015	10	17	Non-respect de la signalisation lumineuse	Non-respect d'un feu rouge	46.20113448531478	6.1604915257753285	ChIJn9pV1zVljEcRxAD2azkSJpM	Rue de Jargonnant
