	index	ID_ACCIDENT	DATE_	GROUPE_ACCIDENT	COMMUNE	CONDITIONS_LUMINEUSES	CONDITIONS_METEO	CONSEQUENCES	COOR_X	COOR_Y	ETAT_ROUTE	GENRE_ROUTE	HEURE	JOUR	LOCALITE	NB_ENFANTS_IMPLIQUES	NB_ENFANTS_ECOLE	NB_BLESSES_LEGERS	NB_BLESSES_GRAVES	NB_TUES	NB_PIETONS	NB_BICYCLETTES	NB_VAE_25	NB_VAE_45	NB_CYCLOMOTEURS	NB_MOTOS_50	NB_MOTOS_125	NB_MOTOS_11KW	NB_VOITURES_TOURISME	NB_VOITURES_LIVRAISON	NB_CAMIONS	NB_BUS	NB_TRAM	E	N	YEAR	MONTH	DAY	CAUSE_g	CAUSE_sg
855	5828	1664483.0	2015-10-23	Accident par tamponnement	Genève	Aurore / crépuscule	Beau	Avec blessés légers	6.133833679435158	46.19998196007497	Sèche	Route secondaire	1899-12-30 18:00:00	Vendredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2499285.0	1117342.0	2015	10	23	Autres mouvements dans la circulation	Marche arrière imprudente
856	5829	1637024.0	2015-08-17	Accident en parquant	Vernier	Jour	Autre	Autres	6.1139555776023595	46.21923756329096	Sèche	Autre	1899-12-30 14:00:00	Lundi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2497787.0	1119508.0	2015	8	17	Cause inconnue	Véhicule stationné (omission de la déclaration obligatoire)
857	5830	1669536.0	2015-11-04	Accident en traversant une route	Plan-les-Ouates	Nuit	Couvert	Avec blessés légers	6.102188284031102	46.16854521668002	Sèche	Route principale	1899-12-30 21:00:00	Mercredi	Non renseigné	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2496783.0	1113889.0	2015	11	4	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Cédez le passage'
858	5893	1690450.0	2015-12-24	Dérapage ou perte de maîtrise	Genève	Nuit	Beau	Autres	6.154116832742435	46.20137531881529	Sèche	Route principale	1899-12-30 23:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2500853.0	1117471.0	2015	12	24	Etat / intention du conducteur	Influence de l'alcool
859	5894	1687537.0	2015-12-17	Accident par tamponnement	Cologny	Jour	Couvert	Autres	6.183035572087636	46.205353563248956	Humide	Route secondaire	1899-12-30 13:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2503092.0	1117877.0	2015	12	17	Inattention et distraction	Manque d'attention momentané
860	5895	1666164.0	2015-10-28	Accident en parquant	Genève	Jour	Couvert	Avec blessés légers	6.141397734237485	46.21041555120402	Humide	Route secondaire	1899-12-30 07:00:00	Mercredi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2499888.0	1118492.0	2015	10	28	Utilisation inadéquate du véhicule	Ouverture imprudente de la portière
861	5897	1679503.0	2015-11-28	Dérapage ou perte de maîtrise	Genève	Jour	Beau	Autres	6.143566587760307	46.20640988449029	Sèche	Autre	1899-12-30 12:00:00	Samedi	A l'intérieur d'une localité	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2500048.0	1118044.0	2015	11	28	Inattention et distraction	Manque d'attention momentané
862	5898	1631878.0	2015-08-05	Accident par tamponnement	Vernier	Jour	Beau	Avec blessés légers	6.097858865374412	46.21760796741032	Sèche	Route principale	1899-12-30 09:00:00	Mercredi	Non renseigné	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2496542.0	1119348.0	2015	8	5	Autres mouvements dans la circulation	Autre attitude fautive lors des mouvements dans la circulation
863	5899	1639621.0	2015-08-24	Accident par tamponnement	Vernier	Jour	Pluie	Avec blessés graves	6.099882081623582	46.21913447234026	Mouillée	Autoroute	1899-12-30 08:00:00	Lundi	A l'extérieur d'une localité	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2496701.0	1119515.0	2015	8	24	Inattention et distraction	Manque d'attention momentané
864	5915	1570435.0	2015-03-12	Accident en s'engageant sur une route	Bellevue	Jour	Beau	Avec blessés légers	6.15399960620309	46.25406835313406	Sèche	Route principale	1899-12-30 08:00:00	Jeudi	A l'intérieur d'une localité	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2500940.0	1123328.0	2015	3	12	Refus d'accorder la priorité	Priorité avec une signalisation fixe 'Stop'
