	NOM_VOIE	TJOM	TJM	DISPONIBILITE	DATEDT	NOM_POINT_DE_MESURE	E	N
605	Route de Soral	3399.0	3118.0	2 mois par an	2016-10-12 10:37:44	Soral / Chancy	2495751.58	1114964.82
607	Route d' Hermance	2651.0	2357.0	3 semaines/an	2016-10-12 10:37:43		2508230.26	1128620.33
611	Route de Mon-Idée	5450.0	4908.0	3 semaines/an	2016-10-12 10:37:39	Douane de Mon-Idée (Route de Mon-Idée)	2506175.14	1117628.18
613	Route d' Ambilly	4061.0	3802.0	3 semaines/an	2016-10-12 10:37:38	Douane de Pierre-à-Bochet (Route d'Ambilly)	2506071.22	1117127.93
615	Route de Sous-Moulin	3784.0	3573.0	3 semaines/an	2016-10-12 10:37:36	Douane de Fossard (Route de Sous-Moulin)	2503917.08	1115467.21
617	Route du Pas-de-l'Echelle	8209.0	7592.0	3 semaines/an	2016-10-12 10:37:34	Douane de Veyrier (Route du Pas-de-l'Echelle)	2503427.64	1113556.65
619	Route du Pont-de-la-Fin	5059.0	4707.0	3 semaines/an	2016-10-12 10:37:32	Douane de Croix-de-Rozon (Route du Pont-de-la-Fin)	2499475.77	1111116.84
621	Route d' Annecy	3449.0	2962.0	3 semaines/an	2016-10-12 10:37:31	Douane de Landecy (Route d'Annecy)	2499060.19	1110859.93
623	Route de Bellegarde	3917.0	3653.0	3 semaines/an	2016-10-12 10:37:29	Chancy, au nord de Chancy	2487136.68	1112342.42
627	Viaduc de l' Ecu	8758.0	7983.0	3 semaines/an	2016-10-12 10:37:24	Ecu (Viaduc)	2497440.86	1118678.37
