	road_name
545	Rue Madame-De-Staël 9-3
546	Rue Adrien-Lachenal 19
547	Boulevard de Saint-Georges 62-66
548	Unnamed Road
549	Place des Eaux-Vives 2-6
550	Rue Louis-Duchosal 4-6
551	Route Jean-Jacques Rigaud 57
552	Rue Jean-Charles Amat 9-5
553	Rue Dancet 2-10
554	Route de Veyrier
555	Route de Vernier 164-166
556	Route de Chancy 79-61
557	Route de Saint-Julien 82-84
558	Avenue Eugène Lance 45-39
559	Quai du Cheval-Blanc 1-3
560	Chemin de la Messin 4-10
561	Rue du Grand-Pré 11
562	Voie Centrale
563	Route du Mandement
564	Route de Vernier 92-94
565	Route de Choulex
566	1
567	Chemin des Coquelicots 22
568	Boulevard de Saint-Georges 62-66
569	Quai Gustave-Ador 38-42
570	Avenue Louis-Pictet 1
571	Avenue de Châtelaine
572	Rue Jean-Charles Amat
573	Avenue d'Aïre
574	Place de Cornavin 10-22
575	Quai du Mont-Blanc 13
576	Avenue Louis-Rendu
577	Unnamed Road
578	Chemin de Planta
579	Avenue d'Aïre
580	Chemin de Champs Prévost
581	Rue du Collège 11-1
582	Voie Centrale
583	Chemin des Landions
584	Route de l'Aéroport
585	Via Monnet 3
586	Pâquis-Nations
587	Rue de Monthoux 50-52
588	Rue de Carouge 51-47
589	Rue Antoine-Floquet
590	Route de Drize 4
591	Route d'Annecy 214-124
592	Rue de Genève 6-18
593	Quai de Cologny 4-3
594	Pâquis-Nations
595	Unnamed Road
596	Vernier
597	Rue de la Servette 25-11
598	:ERROR STATUS: NOT_FOUND
599	Voie Centrale
600	Route de Chancy
601	Plateau de Frontenex
602	Route de Meyrin
603	Avenue Louis-Casaï
604	Voie-des-Traz
605	Avenue de Vaudagne 13
606	Rue Prévost-Martin 61-41
607	Rue Louis-Favre 2-4
608	Rue des Bains 36-50
609	Rue Jo Siffert 10-18
610	Route de Juvigny 90-100
611	Av. Cardinal-Mermillod 21-11
612	Rue du Clos 20
613	Rue De-Beaumont 11-3
614	Route de Ferney 180-165
615	Route de Suisse
616	A1a
617	Rue de Carouge 97-89
618	Chemin Thury 5-9
619	Rue De-Miléant 7
620	E62
621	Route d'Aïre 177
622	Boulevard D'Yvoy 11-9
623	Rue de Chêne-Bougeries 27-1
624	Route de Sous-Moulin
625	Route de Mon-Idée
626	Chemin Barde 6
627	Rue de Montchoisy 8-16
628	Grottes - Saint-Gervais
629	Route de Saint-Julien 148-150
630	Route de Meyrin
631	Rue de Montchoisy 20-44
632	Route de Veyrier 57-55
633	E62
634	:ERROR STATUS: NOT_FOUND
635	Quai Charles-Page
636	Rue des Noirettes 12-14
637	Pâquis-Nations
638	E62
639	Unnamed Road
640	Rue de la Prulay
641	Route d'Hermance 397-393
642	Rue Pellegrino-Rossi 16
643	Quai Wilson
644	Route de Saint-Julien
645	Route de Chancy 205-203
646	Rue Necker
647	Unnamed Road
648	Route de Malagnou 101
649	Route de Malagnou 31
650	Route de Malagny
651	Avenue de Mategnin
652	Route de Meyrin 385-33
653	Route du Val-d'Arve
654	Route de Drize 2
655	Route de Chêne 145-141
656	Route de Suisse
657	Route de Saconnex d'Arve
658	Route de Valleiry 20-30
659	Rue des Maraîchers 44-48
660	Rue de Zurich 19
661	Avenue Henri-Dunant 9-4
662	Unnamed Road
663	Grottes - Saint-Gervais
664	Rue du Môle 21-13
665	Rue Prévost-Martin 8
666	Rue de Carouge 97-89
667	Unnamed Road
668	Rue Blavignac 1
669	Avenue de Crozet
670	Route du Pont Butin
671	Route François-Peyrot
672	Rue des Pâquis 28-50
673	Boulevard de Saint-Georges 5-1
674	Cours de Rive 18-20
675	Avenue de Châtelaine 40-44
676	1
677	Route de Malagnou 31
678	Route de l'Aéroport
679	Boulevard Emile-Jaques-Dalcroze
680	Unnamed Road
681	Chemin du Jardin Alpin 9-7
682	Avenue Edmond-Vaucher 17-15
683	Champel
684	Route de Chêne
685	Rue de la Servette 31-27
686	Grand-Montfleury 52-56
687	Route de Saint-Julien 284
688	Tunnel de Vernier
689	Avenue de France
690	Rue Vignier 6-8
691	Rue de Monthoux 58-66
692	Avenue Théodore-Weber 11-9
693	E62
694	Route de Pré-Marais
695	Chemin Charles Georg 2-16
696	Route de Pressy 24
697	Route du Bois-des-Frères
698	Quai Capo-d'Istria
699	Avenue Henri-Golay 4-8
700	Rue de l'Aubépine 21-15
701	Rue de Montbrillant
702	Chemin Frank-Thomas 90-104
703	Route du Grand-Lancy 87
