NOM_ZONE;TYPE_ZONE;ETAT;LIMITE_VITESSE;ANNEE_MISE_EN_SERVICE;SHAPE.AREA;SHAPE.LEN
Jonction;Zone 30;En cours d'instruction;30;;180606.0936;1809.9110933571
La Tour;Zone 30;En place;30;2004;446770.7675;2901.4554670507005
MASSENET;Zone de rencontre (20);En place;20;2015;37082.28685;932.3412977750081
Rue Patru;Zone de rencontre (20);En place;20;2002;761.6248;114.394070950536
Les Voirets;Zone 30;En place;30;2005;465340.7032;2932.11811435278
Les Genêts;Zone 30;En place;30;1998;263220.5572;2083.49312492155
Mouilles;Zone 30;En place;30;2005;45658.96455;1102.33984955274
Pré du Stand;Zone 30;En place;30;1994;61263.76395;1603.7804272799601
Landecy;Zone 30;En place;30;1999;58147.8584;1134.5585722581202
Dumas;Zone de rencontre (20);En place;20;2005;9696.201000000001;453.984852604592
Laiterie;Zone de rencontre (20);En place;20;2011;6255.35185;469.895190845952
Acacias / Carouge;Zone 30;En place;30;2001;348521.7259;3007.87282547953
Arves / Cluse;Zone 30;En place;30;2004;294151.0424;2429.46214197489
Beau-Soleil;Zone 30;En place;30;2004;56325.58;1142.70913669038
Rue Peillonnex;Zone de rencontre (20);En place;20;2011;11147.57105;500.57074036807506
Cologny;Zone 30;En place;30;2005;214284.66305;2116.12720633678
Parc du Martin-Pêcheur;Limitation 20 km/h;En place;20;;43235.01275;828.2359010809611
Troinex;Zone de rencontre (20);En place;20;2016;81170.56265;1254.1854968904001
Choulex;Zone 30;En place;30;2015;61089.98635;1016.7505221508801
Lancy zone ouest;Zone 30;En place;30;2014;157052.85485;2482.2198234184602
Le Grand-Montfleury;Zone 30;En place;30;2001;63745.99915;1030.9930529846
Chancy;Zone de rencontre (20);En place;20;2002;32243.01665;705.4965724196941
Cité Jardin d'Aïre;Zone de rencontre (20);En place;20;2005;82168.3315;1250.27212545176
Chemin Archamps;Zone de rencontre (20);En place;20;1992;7911.6981000000005;595.3616613848111
Lancy zone ouest;Zone 30;En place;30;2014;4637.30485;747.222400168965
Californie;Zone 30;En place;30;2009;478863.8261;4250.48556378715
Chemin BETEMS;Zone de rencontre (20);En place;20;2011;7415.50805;358.04410779334603
Aïre II;Zone 30;En place;30;2002;638494.46245;3342.76489151787
Chamoliet;Zone 30;En place;30;2014;53544.5587;902.597236930578
Chemin des Conches;Limitation 30 km/h;En place;30;;78001.8606;1369.49896123709
Saint-Jean;Zone 30;En place;30;2006;341.98655;153.113605615256
Jonction;Zone 30;En cours d'instruction;30;;125731.28555;1762.0332398278802
Lancy: zone Nord;Zone de rencontre (20);En place;20;2002;1391.0271;157.566617895196
Pinchat;Zone de rencontre (20);En place;20;2009;78845.79145;1374.99193233344
Acacias / Plainpalais;Zone 30;En place;30;2005;166060.04095;1776.7069146551
Bardonnex;Zone de rencontre (20);En place;20;2004;9836.00305;543.7669280417521
Jonction;Zone 30;En cours d'instruction;30;;72064.1251;1284.21780288078
Aire-la-Ville;Zone 30;En place;30;2014;131030.91695;1675.97390994452
Vilbert / Manons;Zone 30;En place;30;1994;137245.98725;1939.5167255442902
Chemin des Bouveries;Zone de rencontre (20);En place;20;2010;18969.4065;566.847912976304
Cité Jardin d'Aïre;Zone 30;En place;30;2005;311886.45915;4159.65566186071
Saint-Jean;Zone 30;En place;30;2006;398260.2777;3311.7135175010403
Chemin Michée-Chauderon;Zone de rencontre (20);En place;20;1997;7445.5211;368.709207155986
