ID_GM_CARREFOUR;TYPE;COMMENTAIRE;DATE_MAJ;RAYON;E;N
225522;Signalisation lumineuse;;2008-04-18 16:21:46;;2499655.87;1116550.38
226856;Autres carrefours;;2008-04-18 16:21:46;;2504706.19;1122313.10
227023;Autres carrefours;;2008-04-18 16:21:46;;2500429.44;1117500.66
224444;Signalisation lumineuse;;2008-04-18 16:21:46;;2503239.03;1117100.13
224700;Autres carrefours;;2008-04-18 16:21:46;;2497917.55;1118231.60
229133;Autres carrefours;;2008-04-18 16:21:46;;2498983.58;1113084.65
226616;Autres carrefours;;2008-04-18 16:21:46;;2490958.43;1120081.33
233303;Impasse;;2008-04-18 16:21:46;;2489987.35;1112565.49
232419;Impasse;;2008-04-18 16:22:01;;2503000.17;1119720.91
226998;Autres carrefours;;2008-04-18 16:22:01;;2501121.49;1117701.14
227848;Autres carrefours;;2008-04-18 16:22:01;;2497627.02;1116248.48
223913;Autres carrefours;;2008-04-18 16:22:01;;2504058.58;1120291.16
225263;Signalisation lumineuse;;2008-04-18 16:22:01;;2500229.64;1118209.43
227432;Autres carrefours;;2008-04-18 16:22:01;;2490106.15;1118191.52
226952;Autres carrefours;;2008-04-18 16:22:01;;2497016.70;1115966.15
228919;Autres carrefours;;2008-04-18 16:22:01;;2498814.35;1113789.74
228316;Autres carrefours;;2008-04-18 16:22:01;;2495410.90;1116188.59
228848;Autres carrefours;;2008-04-18 16:22:01;;2504450.52;1118280.45
228950;Autres carrefours;;2008-04-18 16:22:01;;2501039.09;1117361.75
224105;Autres carrefours;;2008-04-18 16:22:01;;2497113.94;1111648.30
233155;Changement voie;;2008-04-18 16:22:01;;2500225.24;1117572.64
232809;Frontière;;2011-02-08 08:18:21;;2501526.07;1128136.11
232791;Frontière;;2011-02-08 08:19:21;;2501129.24;1128288.28
236946;Frontière;;2011-02-08 08:25:51;;2499488.99;1129623.21
232846;Frontière;;2011-02-08 08:50:25;;2497498.92;1125673.17
232841;Frontière;;2011-02-08 08:44:31;;2497595.91;1127400.70
232843;Frontière;;2011-02-08 08:47:47.000001;;2497177.03;1127069.55
232760;Impasse;;2011-02-08 08:52:47;;2498043.34;1124727.21
233438;Frontière;;2011-02-08 08:55:52;;2498286.42;1124107.22
225762;Giratoire à signalisation lumineuse;;2016-02-18 10:30:11;14;2498477.58;1114186.76
233309;Frontière;;2011-02-08 09:50:02;;2496182.79;1122277.81
233320;Frontière;;2011-02-08 10:27:37;;2490008.47;1120743.98
236974;Autres carrefours;;2011-02-08 09:59:10;;2503826.90;1118244.22
236976;Autres carrefours;;2011-02-08 09:59:10;;2503810.16;1118225.09
